Year,Country,YearCountry,WCPREVYEARQUALIFY
1981,Algeria,1981Algeria,1
1985,Algeria,1985Algeria,1
2009,Algeria,2009Algeria,1
2013,Algeria,2013Algeria,1
2005,Angola,2005Angola,1
1961,Argentina,1961Argentina,1
1965,Argentina,1965Argentina,1
1973,Argentina,1973Argentina,1
1977,Argentina,1977Argentina,1
1981,Argentina,1981Argentina,1
1985,Argentina,1985Argentina,1
1989,Argentina,1989Argentina,1
1993,Argentina,1993Argentina,1
1997,Argentina,1997Argentina,1
2001,Argentina,2001Argentina,1
2005,Argentina,2005Argentina,1
2009,Argentina,2009Argentina,1
2013,Argentina,2013Argentina,1
2017,Argentina,2017Argentina,1
1973,Australia,1973Australia,1
2005,Australia,2005Australia,1
2009,Australia,2009Australia,1
2013,Australia,2013Australia,1
2017,Australia,2017Australia,1
1977,Austria,1977Austria,1
1981,Austria,1981Austria,1
1989,Austria,1989Austria,1
1997,Austria,1997Austria,1
1969,Belgium,1969Belgium,1
1981,Belgium,1981Belgium,1
1985,Belgium,1985Belgium,1
1989,Belgium,1989Belgium,1
1993,Belgium,1993Belgium,1
1997,Belgium,1997Belgium,1
2001,Belgium,2001Belgium,1
2013,Belgium,2013Belgium,1
2017,Belgium,2017Belgium,1
1993,Bolivia,1993Bolivia,1
2013,Bosnia and Herzegovina,2013Bosnia and Herzegovina,1
1961,Brazil,1961Brazil,1
1965,Brazil,1965Brazil,1
1969,Brazil,1969Brazil,1
1973,Brazil,1973Brazil,1
1977,Brazil,1977Brazil,1
1981,Brazil,1981Brazil,1
1985,Brazil,1985Brazil,1
1989,Brazil,1989Brazil,1
1993,Brazil,1993Brazil,1
1997,Brazil,1997Brazil,1
2001,Brazil,2001Brazil,1
2005,Brazil,2005Brazil,1
2009,Brazil,2009Brazil,1
2013,Brazil,2013Brazil,1
2017,Brazil,2017Brazil,1
1961,Bulgaria,1961Bulgaria,1
1965,Bulgaria,1965Bulgaria,1
1969,Bulgaria,1969Bulgaria,1
1973,Bulgaria,1973Bulgaria,1
1985,Bulgaria,1985Bulgaria,1
1993,Bulgaria,1993Bulgaria,1
1997,Bulgaria,1997Bulgaria,1
1981,Cameroon,1981Cameroon,1
1989,Cameroon,1989Cameroon,1
1993,Cameroon,1993Cameroon,1
1997,Cameroon,1997Cameroon,1
2001,Cameroon,2001Cameroon,1
2009,Cameroon,2009Cameroon,1
2013,Cameroon,2013Cameroon,1
1985,Canada,1985Canada,1
1961,Chile,1961Chile,1
1965,Chile,1965Chile,1
1973,Chile,1973Chile,1
1981,Chile,1981Chile,1
1997,Chile,1997Chile,1
2009,Chile,2009Chile,1
2013,Chile,2013Chile,1
2001,China,2001China,1
1961,Colombia,1961Colombia,1
1989,Colombia,1989Colombia,1
1993,Colombia,1993Colombia,1
1997,Colombia,1997Colombia,1
2013,Colombia,2013Colombia,1
2017,Colombia,2017Colombia,1
1973,Congo,1973Congo,1
1989,Costa Rica,1989Costa Rica,1
2001,Costa Rica,2001Costa Rica,1
2005,Costa Rica,2005Costa Rica,1
2013,Costa Rica,2013Costa Rica,1
2017,Costa Rica,2017Costa Rica,1
2005,Cote d'Ivoire,2005Cote d'Ivoire,1
2009,Cote d'Ivoire,2009Cote d'Ivoire,1
2013,Cote d'Ivoire,2013Cote d'Ivoire,1
1997,Croatia,1997Croatia,1
2001,Croatia,2001Croatia,1
2005,Croatia,2005Croatia,1
2013,Croatia,2013Croatia,1
2017,Croatia,2017Croatia,1
1961,Czech Republic,1961Czech Republic,1
1969,Czech Republic,1969Czech Republic,1
1981,Czech Republic,1981Czech Republic,1
1989,Czech Republic,1989Czech Republic,1
2005,Czech Republic,2005Czech Republic,1
1985,Denmark,1985Denmark,1
1997,Denmark,1997Denmark,1
2001,Denmark,2001Denmark,1
2009,Denmark,2009Denmark,1
2017,Denmark,2017Denmark,1
1973,East Germany,1973East Germany,1
2001,Ecuador,2001Ecuador,1
2005,Ecuador,2005Ecuador,1
2013,Ecuador,2013Ecuador,1
1989,Egypt,1989Egypt,1
2017,Egypt,2017Egypt,1
1969,El Salvador,1969El Salvador,1
1981,El Salvador,1981El Salvador,1
1961,England,1961England,1
1965,England,1965England,1
1969,England,1969England,1
1981,England,1981England,1
1985,England,1985England,1
1989,England,1989England,1
1997,England,1997England,1
2001,England,2001England,1
2005,England,2005England,1
2009,England,2009England,1
2013,England,2013England,1
2017,England,2017England,1
1965,France,1965France,1
1977,France,1977France,1
1981,France,1981France,1
1985,France,1985France,1
1997,France,1997France,1
2001,France,2001France,1
2005,France,2005France,1
2009,France,2009France,1
2013,France,2013France,1
2017,France,2017France,1
1961,Germany,1961Germany,1
1965,Germany,1965Germany,1
1969,Germany,1969Germany,1
1973,Germany,1973Germany,1
1977,Germany,1977Germany,1
1981,Germany,1981Germany,1
1985,Germany,1985Germany,1
1989,Germany,1989Germany,1
1993,Germany,1993Germany,1
1997,Germany,1997Germany,1
2001,Germany,2001Germany,1
2005,Germany,2005Germany,1
2009,Germany,2009Germany,1
2013,Germany,2013Germany,1
2017,Germany,2017Germany,1
2005,Ghana,2005Ghana,1
2009,Ghana,2009Ghana,1
2013,Ghana,2013Ghana,1
1993,Greece,1993Greece,1
2009,Greece,2009Greece,1
2013,Greece,2013Greece,1
1981,Honduras,1981Honduras,1
2009,Honduras,2009Honduras,1
2013,Honduras,2013Honduras,1
1961,Hungary,1961Hungary,1
1965,Hungary,1965Hungary,1
1977,Hungary,1977Hungary,1
1981,Hungary,1981Hungary,1
1985,Hungary,1985Hungary,1
2017,Iceland,2017Iceland,1
1977,Iran,1977Iran,1
1997,Iran,1997Iran,1
2005,Iran,2005Iran,1
2013,Iran,2013Iran,1
2017,Iran,2017Iran,1
1985,Iraq,1985Iraq,1
1981,Ireland,1981Ireland,1
1985,Ireland,1985Ireland,1
1989,Ireland,1989Ireland,1
1993,Ireland,1993Ireland,1
2001,Ireland,2001Ireland,1
1969,Israel,1969Israel,1
1961,Italy,1961Italy,1
1965,Italy,1965Italy,1
1969,Italy,1969Italy,1
1973,Italy,1973Italy,1
1977,Italy,1977Italy,1
1981,Italy,1981Italy,1
1985,Italy,1985Italy,1
1989,Italy,1989Italy,1
1993,Italy,1993Italy,1
1997,Italy,1997Italy,1
2001,Italy,2001Italy,1
2005,Italy,2005Italy,1
2009,Italy,2009Italy,1
2013,Italy,2013Italy,1
1997,Jamaica,1997Jamaica,1
1997,Japan,1997Japan,1
2001,Japan,2001Japan,1
2005,Japan,2005Japan,1
2009,Japan,2009Japan,1
2013,Japan,2013Japan,1
2017,Japan,2017Japan,1
1981,Kuwait,1981Kuwait,1
1961,Mexico,1961Mexico,1
1965,Mexico,1965Mexico,1
1969,Mexico,1969Mexico,1
1977,Mexico,1977Mexico,1
1985,Mexico,1985Mexico,1
1993,Mexico,1993Mexico,1
1997,Mexico,1997Mexico,1
2001,Mexico,2001Mexico,1
2005,Mexico,2005Mexico,1
2009,Mexico,2009Mexico,1
2013,Mexico,2013Mexico,1
2017,Mexico,2017Mexico,1
1969,Morocco,1969Morocco,1
1985,Morocco,1985Morocco,1
1993,Morocco,1993Morocco,1
1997,Morocco,1997Morocco,1
2017,Morocco,2017Morocco,1
1973,Netherlands,1973Netherlands,1
1977,Netherlands,1977Netherlands,1
1989,Netherlands,1989Netherlands,1
1993,Netherlands,1993Netherlands,1
1997,Netherlands,1997Netherlands,1
2005,Netherlands,2005Netherlands,1
2009,Netherlands,2009Netherlands,1
2013,Netherlands,2013Netherlands,1
1981,New Zealand,1981New Zealand,1
2009,New Zealand,2009New Zealand,1
1993,Nigeria,1993Nigeria,1
1997,Nigeria,1997Nigeria,1
2001,Nigeria,2001Nigeria,1
2009,Nigeria,2009Nigeria,1
2013,Nigeria,2013Nigeria,1
2017,Nigeria,2017Nigeria,1
1993,Norway,1993Norway,1
1997,Norway,1997Norway,1
2017,Panama,2017Panama,1
1985,Paraguay,1985Paraguay,1
1997,Paraguay,1997Paraguay,1
2001,Paraguay,2001Paraguay,1
2005,Paraguay,2005Paraguay,1
2009,Paraguay,2009Paraguay,1
1969,Peru,1969Peru,1
1977,Peru,1977Peru,1
1981,Peru,1981Peru,1
2017,Peru,2017Peru,1
1973,Poland,1973Poland,1
1977,Poland,1977Poland,1
1981,Poland,1981Poland,1
1985,Poland,1985Poland,1
2001,Poland,2001Poland,1
2005,Poland,2005Poland,1
2017,Poland,2017Poland,1
1965,Portugal,1965Portugal,1
1985,Portugal,1985Portugal,1
2001,Portugal,2001Portugal,1
2005,Portugal,2005Portugal,1
2009,Portugal,2009Portugal,1
2013,Portugal,2013Portugal,1
2017,Portugal,2017Portugal,1
1969,Romania,1969Romania,1
1989,Romania,1989Romania,1
1993,Romania,1993Romania,1
1997,Romania,1997Romania,1
1961,Russian Federation,1961Russian Federation,1
1965,Russian Federation,1965Russian Federation,1
1969,Russian Federation,1969Russian Federation,1
1981,Russian Federation,1981Russian Federation,1
1985,Russian Federation,1985Russian Federation,1
1989,Russian Federation,1989Russian Federation,1
1993,Russian Federation,1993Russian Federation,1
2001,Russian Federation,2001Russian Federation,1
2013,Russian Federation,2013Russian Federation,1
2017,Russian Federation,2017Russian Federation,1
1993,Saudi Arabia,1993Saudi Arabia,1
1997,Saudi Arabia,1997Saudi Arabia,1
2001,Saudi Arabia,2001Saudi Arabia,1
2005,Saudi Arabia,2005Saudi Arabia,1
2017,Saudi Arabia,2017Saudi Arabia,1
2001,Senegal,2001Senegal,1
2017,Senegal,2017Senegal,1
1961,Serbia,1961Serbia,1
1973,Serbia,1973Serbia,1
1981,Serbia,1981Serbia,1
1989,Serbia,1989Serbia,1
1997,Serbia,1997Serbia,1
2005,Serbia,2005Serbia,1
2009,Serbia,2009Serbia,1
2017,Serbia,2017Serbia,1
2009,Slovakia,2009Slovakia,1
2001,Slovenia,2001Slovenia,1
2009,Slovenia,2009Slovenia,1
1997,South Africa,1997South Africa,1
2001,South Africa,2001South Africa,1
2009,South Africa,2009South Africa,1
1985,South Korea,1985South Korea,1
1989,South Korea,1989South Korea,1
1993,South Korea,1993South Korea,1
1997,South Korea,1997South Korea,1
2001,South Korea,2001South Korea,1
2005,South Korea,2005South Korea,1
2009,South Korea,2009South Korea,1
2013,South Korea,2013South Korea,1
2017,South Korea,2017South Korea,1
1961,Spain,1961Spain,1
1965,Spain,1965Spain,1
1977,Spain,1977Spain,1
1981,Spain,1981Spain,1
1985,Spain,1985Spain,1
1989,Spain,1989Spain,1
1993,Spain,1993Spain,1
1997,Spain,1997Spain,1
2001,Spain,2001Spain,1
2005,Spain,2005Spain,1
2009,Spain,2009Spain,1
2013,Spain,2013Spain,1
2017,Spain,2017Spain,1
1969,Sweden,1969Sweden,1
1973,Sweden,1973Sweden,1
1977,Sweden,1977Sweden,1
1989,Sweden,1989Sweden,1
1993,Sweden,1993Sweden,1
2001,Sweden,2001Sweden,1
2005,Sweden,2005Sweden,1
2017,Sweden,2017Sweden,1
1961,Switzerland,1961Switzerland,1
1965,Switzerland,1965Switzerland,1
1993,Switzerland,1993Switzerland,1
2005,Switzerland,2005Switzerland,1
2009,Switzerland,2009Switzerland,1
2013,Switzerland,2013Switzerland,1
2017,Switzerland,2017Switzerland,1
2005,Togo,2005Togo,1
2005,Trinidad and Tobago,2005Trinidad and Tobago,1
1977,Tunisia,1977Tunisia,1
1997,Tunisia,1997Tunisia,1
2001,Tunisia,2001Tunisia,1
2005,Tunisia,2005Tunisia,1
2017,Tunisia,2017Tunisia,1
2001,Turkey,2001Turkey,1
2005,Ukraine,2005Ukraine,1
1989,United Arab Emirates,1989United Arab Emirates,1
1989,United States,1989United States,1
1993,United States,1993United States,1
1997,United States,1997United States,1
2001,United States,2001United States,1
2005,United States,2005United States,1
2009,United States,2009United States,1
2013,United States,2013United States,1
1961,Uruguay,1961Uruguay,1
1965,Uruguay,1965Uruguay,1
1969,Uruguay,1969Uruguay,1
1973,Uruguay,1973Uruguay,1
1985,Uruguay,1985Uruguay,1
1989,Uruguay,1989Uruguay,1
2001,Uruguay,2001Uruguay,1
2009,Uruguay,2009Uruguay,1
2013,Uruguay,2013Uruguay,1
2017,Uruguay,2017Uruguay,1
