Rank,Year,Country,Elo,predrfmodelcs
203,2001,Afghanistan,862,1164.965477
206,2004,Afghanistan,817,1055.670841
206,2005,Afghanistan,809,1051.735318
199,2012,Afghanistan,917,1077.532578
174,2015,Afghanistan,1143,1096.211377
170,2016,Afghanistan,1140,1098.008647
82,1991,Albania,1438,1549.773098
96,1992,Albania,1431,1564.969714
107,1993,Albania,1383,1552.476435
92,1995,Albania,1451,1563.770993
104,1997,Albania,1407,1559.286304
95,2002,Albania,1446,1596.722221
86,2007,Albania,1488,1604.089344
88,2008,Albania,1505,1600.899905
88,2009,Albania,1487,1596.680606
80,2010,Albania,1527,1597.291616
83,2012,Albania,1510,1591.989134
11,1960,Algeria,1870,1518.231785
13,1964,Algeria,1866,1522.541083
27,1966,Algeria,1737,1528.645595
41,1968,Algeria,1639,1497.233797
48,1970,Algeria,1615,1507.158477
54,1975,Algeria,1571,1565.986218
61,1977,Algeria,1536,1577.214345
38,1985,Algeria,1647,1605.786659
46,1986,Algeria,1622,1608.450917
37,1989,Algeria,1664,1611.667029
60,1995,Algeria,1581,1612.096064
72,2002,Algeria,1503,1594.243775
105,2007,Algeria,1407,1596.33424
45,2015,Algeria,1666,1605.735565
81,1983,Angola,1463,1526.408428
66,1988,Angola,1508,1544.56897
79,1989,Angola,1452,1550.261464
101,1994,Angola,1417,1523.116645
88,2003,Angola,1464,1559.676239
70,2005,Angola,1547,1610.148667
89,2008,Angola,1503,1581.695387
89,2012,Angola,1488,1572.767958
103,2014,Angola,1442,1573.941845
154,2016,Angola,1222,1593.169628
152,2017,Angola,1242,1586.487094
164,2000,Antigua and Barbuda,1163,1202.666721
164,2016,Antigua and Barbuda,1204,1216.415168
8,1971,Argentina,1871,1642.793009
15,1974,Argentina,1857,1729.753346
7,1982,Argentina,1941,1768.116839
14,1994,Argentina,1884,1828.226111
21,1996,Argentina,1794,1833.916389
5,2000,Argentina,2003,1839.532555
1,2004,Argentina,2029,1793.503066
8,2005,Argentina,1933,1805.088368
6,2008,Argentina,1974,1847.669934
4,2013,Argentina,2021,1888.500845
2,2016,Argentina,2045,1887.918023
6,2017,Argentina,1984,1887.183803
176,1999,Aruba,1072,1165.97366
189,2002,Aruba,1000,1160.842828
188,2003,Aruba,1000,1157.166695
193,2010,Aruba,932,1149.524222
61,1961,Australia,1517,1329.198611
67,1964,Australia,1517,1374.369979
65,1965,Australia,1509,1412.230951
46,1967,Australia,1609,1416.195858
49,1968,Australia,1597,1418.729529
44,1969,Australia,1627,1425.14112
34,1970,Australia,1695,1449.703342
37,1971,Australia,1679,1450.259697
32,1973,Australia,1681,1477.152044
33,1975,Australia,1685,1504.063244
39,1977,Australia,1659,1518.504574
56,1981,Australia,1575,1533.177256
38,1991,Australia,1676,1579.908166
31,1995,Australia,1711,1587.383414
26,1999,Australia,1764,1590.746683
23,2000,Australia,1789,1596.016422
19,2001,Australia,1829,1590.131247
28,2005,Australia,1769,1607.769556
22,2010,Australia,1776,1603.185951
16,2011,Australia,1819,1600.725261
24,2012,Australia,1775,1595.511247
35,2017,Australia,1728,1596.386498
10,1961,Austria,1895,1618.078599
16,1962,Austria,1836,1617.636135
19,1963,Austria,1789,1627.483325
17,1971,Austria,1790,1708.924634
17,1972,Austria,1822,1703.269856
18,1976,Austria,1813,1712.579944
23,1983,Austria,1818,1749.147984
22,1984,Austria,1799,1736.088808
27,1987,Austria,1752,1749.16155
31,1988,Austria,1731,1748.517833
48,1991,Austria,1615,1755.156998
45,1993,Austria,1644,1755.3655
40,1995,Austria,1655,1762.417912
34,2000,Austria,1722,1748.493486
49,2005,Austria,1668,1752.354738
52,2006,Austria,1630,1754.515151
65,2008,Austria,1567,1776.268355
60,2009,Austria,1589,1759.607054
59,2010,Austria,1605,1757.969878
66,2011,Austria,1579,1778.587873
20,2015,Austria,1802,1757.951222
40,2017,Austria,1710,1779.572456
121,1997,Azerbaijan,1340,1400.101779
140,2000,Azerbaijan,1264,1365.088061
105,2004,Azerbaijan,1390,1393.935322
115,2006,Azerbaijan,1349,1462.844636
109,2014,Azerbaijan,1406,1523.688834
106,2015,Azerbaijan,1420,1493.244705
123,1998,Bahrain,1327,1421.670893
63,2004,Bahrain,1590,1496.146626
73,2005,Bahrain,1540,1507.282287
97,2014,Bahrain,1465,1505.880599
109,2015,Bahrain,1407,1523.352278
187,2003,Bangladesh,1013,1123.29741
185,2004,Bangladesh,1013,1118.048514
190,2007,Bangladesh,965,1133.549204
192,2010,Bangladesh,936,1137.645431
202,2015,Bangladesh,893,1145.647942
132,1998,Barbados,1298,1258.406319
119,2000,Barbados,1335,1285.976476
125,2001,Barbados,1321,1284.374369
126,2004,Barbados,1321,1284.084637
124,2006,Barbados,1320,1270.404116
166,2011,Barbados,1153,1255.800001
172,2012,Barbados,1135,1245.47131
173,2017,Barbados,1138,1249.869747
101,2000,Belarus,1421,1638.28033
77,2001,Belarus,1507,1636.78606
67,2006,Belarus,1563,1707.19141
63,2008,Belarus,1569,1727.577273
61,2011,Belarus,1590,1727.89006
40,1961,Belgium,1647,1649.124604
34,1962,Belgium,1662,1650.697185
19,1968,Belgium,1784,1695.69996
22,1969,Belgium,1779,1713.092576
12,1979,Belgium,1895,1756.20998
10,1982,Belgium,1901,1758.001553
8,1983,Belgium,1900,1749.181647
20,1984,Belgium,1800,1746.782716
16,1985,Belgium,1843,1747.638935
18,1986,Belgium,1802,1757.84576
18,1991,Belgium,1819,1768.408804
25,1995,Belgium,1777,1779.603261
24,2000,Belgium,1787,1788.988171
33,2004,Belgium,1726,1779.423257
43,2005,Belgium,1700,1776.33054
52,2008,Belgium,1633,1789.645785
61,2009,Belgium,1587,1781.614587
8,2017,Belgium,1928,1812.894079
130,1998,Bermuda,1305,1247.175898
131,1999,Bermuda,1301,1252.497021
135,2000,Bermuda,1291,1252.608328
137,2002,Bermuda,1282,1250.385757
164,2005,Bermuda,1173,1225.130087
159,2012,Bermuda,1188,1223.585014
155,2013,Bermuda,1202,1222.688051
223,2000,Bhutan,562,817.7819568
224,2002,Bhutan,574,831.4843084
222,2003,Bhutan,587,824.4816051
223,2005,Bhutan,567,824.8703287
219,2008,Bhutan,652,819.5921853
233,2013,Bhutan,522,822.7274142
235,2014,Bhutan,522,835.1955034
234,2015,Bhutan,552,842.1039516
57,1960,Bolivia,1539,1618.100464
49,1962,Bolivia,1587,1620.062227
31,1965,Bolivia,1695,1615.29281
31,1966,Bolivia,1695,1606.59265
55,1968,Bolivia,1585,1608.25818
48,1971,Bolivia,1610,1596.835758
68,1976,Bolivia,1499,1608.045631
67,1984,Bolivia,1513,1619.720492
75,1987,Bolivia,1488,1607.839356
54,1989,Bolivia,1566,1605.72024
57,1990,Bolivia,1566,1607.86466
41,1996,Bolivia,1663,1630.232783
39,1997,Bolivia,1691,1627.95219
58,2000,Bolivia,1597,1634.849464
64,2001,Bolivia,1563,1633.560253
65,2004,Bolivia,1589,1639.016998
58,2009,Bolivia,1602,1668.556224
65,2010,Bolivia,1582,1673.438776
53,2013,Bolivia,1627,1703.260697
53,2016,Bolivia,1633,1701.151504
51,1995,Bosnia and Herzegovina,1601,1545.959052
55,1996,Bosnia and Herzegovina,1604,1576.629127
64,1998,Bosnia and Herzegovina,1560,1585.168049
69,1999,Bosnia and Herzegovina,1543,1587.962795
71,2001,Bosnia and Herzegovina,1531,1597.897682
54,2004,Bosnia and Herzegovina,1623,1606.114661
68,2006,Bosnia and Herzegovina,1562,1607.512172
62,2008,Bosnia and Herzegovina,1575,1654.751554
41,2011,Bosnia and Herzegovina,1694,1658.334832
36,2017,Bosnia and Herzegovina,1723,1661.191308
5,1985,Brazil,1919,1840.013631
2,1986,Brazil,2015,1840.549993
7,1991,Brazil,1957,1882.961436
1,1997,Brazil,2182,1892.511058
1,1999,Brazil,2094,1888.350573
4,2003,Brazil,1992,1874.718027
1,2005,Brazil,2029,1883.401059
1,2006,Brazil,2081,1882.231303
1,2007,Brazil,2078,1901.067879
3,2010,Brazil,2095,1932.54162
2,2015,Brazil,2038,1918.464164
33,1982,Bulgaria,1697,1699.154105
30,1984,Bulgaria,1742,1692.435685
25,1987,Bulgaria,1768,1706.851162
24,1993,Bulgaria,1789,1657.247582
21,1994,Bulgaria,1858,1647.460131
43,1999,Bulgaria,1664,1666.890982
44,2001,Bulgaria,1685,1667.267507
27,2003,Bulgaria,1766,1704.725993
32,2004,Bulgaria,1731,1712.861693
31,2009,Bulgaria,1758,1714.771328
37,2010,Bulgaria,1707,1713.48776
51,2013,Bulgaria,1643,1711.081566
62,2015,Bulgaria,1585,1704.090261
92,1988,Burkina Faso,1408,1500.113765
95,1995,Burkina Faso,1444,1519.174088
107,1996,Burkina Faso,1402,1517.996997
125,1997,Burkina Faso,1330,1522.56718
111,1998,Burkina Faso,1389,1516.732391
98,1999,Burkina Faso,1430,1514.337687
99,2000,Burkina Faso,1424,1531.797947
107,2002,Burkina Faso,1405,1516.503815
98,2006,Burkina Faso,1424,1508.025536
82,2011,Burkina Faso,1518,1552.920716
80,2016,Burkina Faso,1509,1549.446115
201,2002,Cambodia,866,1050.493694
204,2004,Cambodia,828,1044.210983
205,2005,Cambodia,825,1043.029785
204,2006,Cambodia,812,1040.030934
207,2010,Cambodia,801,1037.355766
216,2014,Cambodia,716,1052.600234
71,1964,Cameroon,1501,1510.203434
66,1967,Cameroon,1494,1511.017712
70,1968,Cameroon,1495,1517.868843
46,1974,Cameroon,1616,1499.516219
49,1975,Cameroon,1592,1502.95585
58,1977,Cameroon,1541,1502.323194
57,1979,Cameroon,1573,1529.280221
43,1981,Cameroon,1621,1536.227858
36,1982,Cameroon,1682,1535.158499
40,1984,Cameroon,1637,1536.733194
33,1989,Cameroon,1707,1556.991008
39,1992,Cameroon,1654,1551.321486
68,1995,Cameroon,1548,1544.533335
63,1997,Cameroon,1560,1550.313659
35,2004,Cameroon,1705,1565.828674
33,2005,Cameroon,1746,1573.654768
36,2007,Cameroon,1738,1587.126811
51,2010,Cameroon,1649,1609.258163
48,2011,Cameroon,1653,1608.396227
58,2013,Cameroon,1595,1611.336472
57,2015,Cameroon,1610,1609.785199
42,1965,Canada,1620,1495.315693
46,1968,Canada,1608,1495.426533
49,1971,Canada,1608,1507.203341
59,1973,Canada,1554,1506.040199
61,1976,Canada,1542,1522.865687
60,1979,Canada,1554,1526.714469
49,1980,Canada,1595,1537.690077
53,1988,Canada,1579,1549.461227
48,1990,Canada,1616,1545.690628
57,1995,Canada,1589,1543.45327
54,2000,Canada,1632,1548.862021
58,2001,Canada,1589,1547.992324
50,2002,Canada,1636,1549.54332
69,2004,Canada,1564,1569.660129
68,2005,Canada,1566,1568.789542
59,2006,Canada,1590,1567.774592
85,2014,Canada,1509,1552.097434
77,2016,Canada,1517,1554.330801
144,2000,Central African Republic,1245,1502.476741
151,2002,Central African Republic,1234,1511.486462
150,2006,Central African Republic,1225,1467.949131
159,2009,Central African Republic,1183,1462.289856
17,1962,Chile,1823,1627.604298
23,1965,Chile,1770,1634.789381
29,1966,Chile,1723,1637.75258
18,1968,Chile,1797,1638.01425
35,1975,Chile,1673,1637.779854
42,1977,Chile,1651,1647.454954
31,1979,Chile,1693,1678.21145
20,1981,Chile,1785,1703.026953
31,1982,Chile,1702,1697.327668
27,1983,Chile,1761,1675.726985
26,1984,Chile,1771,1677.134812
21,1986,Chile,1796,1673.06376
15,1987,Chile,1854,1675.101208
26,1992,Chile,1768,1712.927744
58,2002,Chile,1592,1722.172216
53,2003,Chile,1630,1733.696633
47,2004,Chile,1654,1767.328528
20,2008,Chile,1800,1765.371773
11,2009,Chile,1881,1764.071754
10,2011,Chile,1886,1806.431918
7,2014,Chile,1964,1805.259273
5,2016,Chile,1982,1811.706854
50,1964,China,1572,1446.739818
41,1967,China,1633,1445.586048
45,1970,China,1633,1446.514769
40,1972,China,1651,1449.315612
35,1973,China,1666,1449.372662
48,1975,China,1596,1441.864537
52,1986,China,1586,1408.824991
50,1987,China,1607,1406.475039
71,1990,China,1492,1409.777055
68,1991,China,1492,1404.190089
56,2002,China,1604,1389.032763
77,2008,China,1532,1486.045797
79,2009,China,1545,1490.606513
57,2011,China,1611,1514.078223
59,2013,China,1591,1520.702805
71,2015,China,1548,1525.528367
84,1964,Colombia,1431,1556.899508
89,1966,Colombia,1436,1557.732856
83,1967,Colombia,1436,1555.32764
86,1971,Colombia,1410,1558.670093
47,1976,Colombia,1615,1630.906773
53,1977,Colombia,1577,1641.356668
54,1980,Colombia,1574,1666.163574
26,1987,Colombia,1756,1676.653504
18,1989,Colombia,1822,1696.561727
14,1996,Colombia,1881,1796.771773
23,1997,Colombia,1768,1799.962728
10,2001,Colombia,1877,1786.640276
21,2006,Colombia,1790,1792.635384
15,2007,Colombia,1839,1807.678692
33,2008,Colombia,1748,1819.594453
26,2011,Colombia,1768,1847.743303
6,2013,Colombia,1934,1861.679866
7,2015,Colombia,1955,1830.447889
9,2016,Colombia,1930,1827.728318
9,2017,Colombia,1927,1833.12857
48,1962,Congo,1591,1505.822581
51,1966,Congo,1556,1487.918652
51,1967,Congo,1601,1479.579822
59,1975,Congo,1534,1481.143383
66,1978,Congo,1510,1477.598192
91,1989,Congo,1415,1515.320862
105,1993,Congo,1394,1521.492968
106,1994,Congo,1395,1520.542979
116,1995,Congo,1364,1521.101637
83,1997,Congo,1474,1518.375757
72,1999,Congo,1526,1515.809814
98,2001,Congo,1429,1518.141446
95,2004,Congo,1445,1525.879464
98,2008,Congo,1439,1517.128139
94,2014,Congo,1472,1534.993413
84,2015,Congo,1507,1535.663977
33,1960,Costa Rica,1676,1568.226979
24,1966,Costa Rica,1747,1559.59301
49,1972,Costa Rica,1595,1546.853237
56,1976,Costa Rica,1550,1537.956997
71,1981,Costa Rica,1506,1533.038932
67,1995,Costa Rica,1558,1553.607391
63,1996,Costa Rica,1579,1551.696003
53,2007,Costa Rica,1639,1582.98583
43,2008,Costa Rica,1701,1587.40568
40,2009,Costa Rica,1703,1581.947495
29,2013,Costa Rica,1735,1626.925102
15,2014,Costa Rica,1867,1628.451619
34,1962,Cote d'Ivoire,1662,1503.158767
32,1965,Cote d'Ivoire,1694,1507.699371
27,1968,Cote d'Ivoire,1736,1513.202945
51,1977,Cote d'Ivoire,1585,1530.574402
63,1983,Cote d'Ivoire,1545,1528.924727
50,1984,Cote d'Ivoire,1587,1529.189967
40,1986,Cote d'Ivoire,1647,1543.272101
36,1991,Cote d'Ivoire,1683,1548.036906
43,1992,Cote d'Ivoire,1644,1550.729427
68,1997,Cote d'Ivoire,1538,1553.9837
54,1998,Cote d'Ivoire,1619,1553.355945
63,2002,Cote d'Ivoire,1561,1552.793901
42,2004,Cote d'Ivoire,1675,1572.857573
29,2011,Cote d'Ivoire,1764,1605.904999
33,2015,Cote d'Ivoire,1737,1611.474103
64,2017,Cote d'Ivoire,1604,1614.123971
12,1995,Croatia,1881,1680.07962
14,1997,Croatia,1864,1703.578096
9,1999,Croatia,1915,1703.395747
18,2003,Croatia,1827,1696.153033
10,2009,Croatia,1888,1726.787826
9,2011,Croatia,1891,1726.072093
57,1976,Cuba,1548,1396.147617
54,1979,Cuba,1582,1441.174546
55,1981,Cuba,1581,1447.151697
63,1984,Cuba,1533,1442.474176
80,1993,Cuba,1502,1440.118672
78,1994,Cuba,1502,1457.878956
96,1998,Cuba,1434,1585.839144
92,2001,Cuba,1449,1457.346019
85,2007,Cuba,1500,1449.227412
110,2011,Cuba,1395,1436.067652
111,2014,Cuba,1396,1475.477129
122,2015,Cuba,1339,1494.819756
76,1998,Cyprus,1492,1461.340995
78,1999,Cyprus,1499,1464.756369
68,2000,Cyprus,1539,1450.372676
79,2001,Cyprus,1501,1456.834996
79,2002,Cyprus,1497,1469.626629
93,2005,Cyprus,1460,1508.950359
78,2007,Cyprus,1531,1523.753563
76,2008,Cyprus,1533,1524.608149
109,2014,Cyprus,1406,1518.10104
107,2016,Cyprus,1406,1509.034908
10,1996,Czech Republic,1925,1743.782831
4,2005,Czech Republic,1966,1764.764536
29,2010,Czech Republic,1742,1773.989004
26,2013,Czech Republic,1761,1773.826611
28,2015,Czech Republic,1766,1769.007934
52,1988,Democratic Republic of Congo,1580,1495.189324
52,1989,Democratic Republic of Congo,1570,1522.853091
71,1995,Democratic Republic of Congo,1539,1520.31612
26,1962,Denmark,1706,1620.528215
32,1963,Denmark,1667,1624.77589
42,1964,Denmark,1622,1633.136245
44,1968,Denmark,1623,1641.276383
37,1973,Denmark,1657,1689.836417
50,1975,Denmark,1590,1691.486057
45,1977,Denmark,1642,1705.435017
8,1984,Denmark,1889,1724.610628
8,1987,Denmark,1907,1746.866078
10,1994,Denmark,1904,1766.104909
9,1997,Denmark,1929,1765.032699
11,1999,Denmark,1909,1766.203862
10,2003,Denmark,1896,1753.356802
14,2004,Denmark,1864,1754.372613
28,2013,Denmark,1747,1762.158251
19,2017,Denmark,1842,1759.788044
171,2003,Dominican Republic,1111,1386.674598
177,2006,Dominican Republic,1078,1392.554438
181,2008,Dominican Republic,1049,1371.97007
172,2011,Dominican Republic,1129,1401.203557
150,2017,Dominican Republic,1250,1442.446583
10,1975,East Germany,1903,1861.146565
5,1976,East Germany,1967,1869.923841
11,1979,East Germany,1911,1864.049887
9,1980,East Germany,1941,1870.222932
13,1984,East Germany,1860,1866.729067
27,1989,East Germany,1739,1875.650903
89,1966,Ecuador,1436,1568.92562
83,1967,Ecuador,1436,1569.798378
80,1970,Ecuador,1443,1565.880728
83,1973,Ecuador,1440,1609.222037
85,1977,Ecuador,1439,1662.593885
75,1981,Ecuador,1481,1686.298819
56,1988,Ecuador,1572,1645.05166
41,1991,Ecuador,1663,1672.491228
47,1993,Ecuador,1631,1674.257175
43,2000,Ecuador,1690,1674.559827
33,2001,Ecuador,1734,1685.507696
35,2002,Ecuador,1722,1700.330717
33,2006,Ecuador,1760,1712.810636
16,2014,Ecuador,1848,1764.521401
30,2017,Ecuador,1747,1765.73804
18,1967,Egypt,1785,1549.312988
24,1969,Egypt,1763,1535.492889
19,1970,Egypt,1791,1533.922975
29,1975,Egypt,1702,1471.486842
40,1976,Egypt,1642,1501.636835
46,1981,Egypt,1614,1543.908658
45,1995,Egypt,1635,1544.769048
51,1996,Egypt,1621,1547.904196
49,1999,Egypt,1647,1609.120505
42,2000,Egypt,1693,1623.296822
48,2004,Egypt,1648,1542.074832
38,2005,Egypt,1716,1572.262068
41,2007,Egypt,1683,1649.742904
29,2008,Egypt,1765,1643.545032
41,2009,Egypt,1697,1647.883652
42,2013,Egypt,1696,1646.937415
60,2014,Egypt,1617,1641.659351
70,1967,El Salvador,1487,1518.118178
66,1971,El Salvador,1522,1512.652388
69,1976,El Salvador,1494,1529.836965
71,1978,El Salvador,1487,1533.910509
71,1979,El Salvador,1480,1535.426699
48,1981,El Salvador,1600,1535.575695
70,1987,El Salvador,1513,1533.988306
67,1992,El Salvador,1537,1521.144417
77,1998,El Salvador,1483,1311.326003
109,1999,El Salvador,1390,1546.053165
86,2000,El Salvador,1458,1545.336704
101,2004,El Salvador,1407,1559.719458
108,2006,El Salvador,1373,1562.212802
91,2008,El Salvador,1488,1563.243248
92,2010,El Salvador,1483,1565.883627
94,2017,El Salvador,1456,1558.525927
1,1969,England,2085,1838.745412
7,1976,England,1960,1824.021072
3,1979,England,2049,1856.816927
3,1985,England,1934,1859.985959
1,1987,England,2014,1865.175484
7,1989,England,1944,1868.653731
7,2003,England,1956,1884.410433
5,2008,England,1987,1879.621862
6,2011,England,1955,1883.652284
6,2012,England,1953,1883.40637
6,2013,England,1934,1882.048191
115,2000,Estonia,1368,1424.624202
98,2002,Estonia,1438,1446.668899
106,2003,Estonia,1417,1457.066942
107,2004,Estonia,1384,1445.312303
100,2005,Estonia,1427,1481.328197
101,2006,Estonia,1408,1491.639738
107,2007,Estonia,1403,1488.178318
106,2008,Estonia,1418,1501.198622
87,2012,Estonia,1496,1493.764214
94,2013,Estonia,1468,1504.429079
87,2015,Estonia,1492,1488.872748
97,2016,Estonia,1438,1501.044625
81,2017,Estonia,1507,1504.521308
114,2000,Ethiopia,1371,1490.894883
101,2001,Ethiopia,1423,1488.70921
139,2002,Ethiopia,1270,1488.315125
120,2004,Ethiopia,1346,1481.029394
123,2014,Ethiopia,1348,1539.835436
139,2015,Ethiopia,1273,1538.347142
